state,county,"2020","2021","2022","2023"
 Iowa,Butler County,"14,333","14,348","14,246","14,172"
 Iowa,Calhoun County,"9,900","9,895","9,725","9,763"
 Iowa,Carroll County,"20,726","20,740","20,541","20,522"
 Iowa,Cass County,"13,123","13,089","13,137","13,130"
 Iowa,Cedar County,"18,495","18,436","18,353","18,302"
 Iowa,Cerro Gordo County,"43,022","42,761","42,426","42,406"
 Iowa,Cherokee County,"11,656","11,535","11,490","11,605"
 Iowa,Chickasaw County,"11,988","11,883","11,728","11,658"
 Iowa,Clarke County,"9,737","9,756","9,643","9,588"
 Iowa,Clay County,"16,336","16,454","16,507","16,511"
 Iowa,Clayton County,"17,033","17,053","17,057","16,969"
 Iowa,Clinton County,"46,427","46,483","46,255","46,158"
 Iowa,Crawford County,"16,484","16,232","16,129","16,013"
 Iowa,Dallas County,"100,536","104,174","108,146","111,092"
 Iowa,Davis County,"9,111","9,150","9,147","9,169"
 Iowa,Decatur County,"7,606","7,668","7,695","7,665"
 Iowa,Delaware County,"17,458","17,553","17,607","17,600"
 Iowa,Des Moines County,"38,823","38,506","38,242","38,253"
 Iowa,Dickinson County,"17,767","17,868","18,048","18,056"
 Iowa,Dubuque County,"99,308","98,854","98,715","98,887"
 Iowa,Emmet County,"9,347","9,334","9,214","9,229"
 Iowa,Fayette County,"19,445","19,295","19,266","19,210"
 Iowa,Floyd County,"15,604","15,465","15,348","15,326"
 Iowa,Franklin County,"10,002","9,952","9,946","9,875"
 Iowa,Fremont County,"6,566","6,583","6,475","6,458"
 Iowa,Greene County,"8,752","8,724","8,710","8,584"
 Iowa,Grundy County,"12,333","12,358","12,355","12,384"
 Iowa,Guthrie County,"10,612","10,588","10,681","10,722"
 Iowa,Hamilton County,"15,008","14,863","14,803","14,729"
 Iowa,Hancock County,"10,754","10,680","10,651","10,615"
 Iowa,Hardin County,"16,828","16,702","16,614","16,463"
 Iowa,Harrison County,"14,569","14,690","14,680","14,670"
 Iowa,Henry County,"20,447","20,382","20,253","19,547"
 Iowa,Howard County,"9,489","9,496","9,509","9,376"
 Iowa,Humboldt County,"9,599","9,630","9,521","9,500"
 Iowa,Ida County,"7,022","6,969","6,905","6,833"
 Iowa,Iowa County,"16,658","16,586","16,497","16,381"
 Iowa,Jackson County,"19,455","19,399","19,346","19,342"
 Iowa,Jasper County,"37,810","37,874","37,949","37,919"
 Iowa,Jefferson County,"15,694","15,781","15,668","15,440"
 Iowa,Johnson County,"153,056","155,035","156,915","157,528"
 Iowa,Jones County,"20,653","20,826","20,949","20,900"
 Iowa,Keokuk County,"10,004","9,902","9,883","9,914"
 Iowa,Kossuth County,"14,799","14,515","14,465","14,396"
 Iowa,Lee County,"33,533","33,257","32,829","32,565"
 Iowa,Linn County,"230,419","229,445","228,940","228,972"
 Iowa,Louisa County,"10,814","10,724","10,617","10,513"
 Iowa,Lucas County,"8,618","8,706","8,702","8,747"
 Iowa,Lyon County,"11,930","12,040","12,177","12,324"
 Iowa,Madison County,"16,629","16,793","17,040","16,971"
 Iowa,Mahaska County,"22,160","21,974","21,971","21,874"
 Iowa,Marion County,"33,414","33,441","33,630","33,770"
 Iowa,Marshall County,"40,096","39,913","39,821","40,014"
 Iowa,Mills County,"14,398","14,467","14,535","14,633"
 Iowa,Mitchell County,"10,597","10,563","10,544","10,518"
 Iowa,Monona County,"8,742","8,598","8,506","8,493"
 Iowa,Monroe County,"7,593","7,581","7,530","7,504"
 Iowa,Montgomery County,"10,333","10,316","10,210","10,139"
 Iowa,Muscatine County,"43,143","42,674","42,395","42,218"
 Iowa,O'Brien County,"14,150","14,044","14,085","14,012"
 Iowa,Osceola County,"6,198","6,170","6,072","5,978"
 Iowa,Page County,"15,190","15,220","15,176","15,014"
 Iowa,Palo Alto County,"8,986","8,923","8,790","8,810"
 Iowa,Plymouth County,"25,692","25,731","25,722","25,722"
 Iowa,Pocahontas County,"7,065","7,039","7,073","6,976"
 Iowa,Polk County,"493,022","497,842","501,184","505,255"
 Iowa,Pottawattamie County,"93,669","93,410","93,065","93,179"
 Iowa,Poweshiek County,"18,631","18,624","18,518","18,453"
 Iowa,Ringgold County,"4,639","4,632","4,688","4,642"
 Iowa,Sac County,"9,799","9,768","9,689","9,686"
 Iowa,Scott County,"174,609","174,225","173,751","174,270"
 Iowa,Shelby County,"11,735","11,780","11,711","11,806"
 Iowa,Sioux County,"35,885","35,959","36,127","36,246"
 Iowa,Story County,"98,649","99,679","98,257","98,566"
 Iowa,Tama County,"17,081","16,898","16,943","16,833"
 Iowa,Taylor County,"5,862","5,866","5,875","5,924"
 Iowa,Union County,"12,132","12,049","11,903","11,906"
 Iowa,Van Buren County,"7,222","7,258","7,252","7,266"
 Iowa,Wapello County,"35,326","35,295","35,081","35,166"
 Iowa,Warren County,"52,591","53,485","54,303","55,205"
 Iowa,Washington County,"22,542","22,522","22,542","22,560"
 Iowa,Wayne County,"6,512","6,531","6,490","6,557"
 Iowa,Webster County,"36,996","37,170","36,652","36,485"
 Iowa,Winnebago County,"10,662","10,661","10,639","10,571"
 Iowa,Winneshiek County,"20,045","19,935","19,902","19,815"
 Iowa,Woodbury County,"105,912","105,749","105,558","105,951"
 Iowa,Worth County,"7,436","7,377","7,311","7,297"
 Iowa,Wright County,"12,916","12,813","12,695","12,656"
 Kansas,Allen County,"12,533","12,498","12,489","12,412"
 Kansas,Anderson County,"7,839","7,807","7,798","7,838"
 Kansas,Atchison County,"16,328","16,236","16,053","16,016"
 Kansas,Barber County,"4,198","4,099","4,124","4,071"
 Kansas,Barton County,"25,427","25,263","25,058","24,899"
 Kansas,Bourbon County,"14,335","14,326","14,443","14,408"
 Kansas,Brown County,"9,472","9,446","9,373","9,250"
 Kansas,Butler County,"67,391","67,976","68,289","68,632"
 Kansas,Chase County,"2,571","2,604","2,568","2,579"
 Kansas,Chautauqua County,"3,386","3,389","3,387","3,347"
 Kansas,Cherokee County,"19,309","19,186","19,025","19,054"
 Kansas,Cheyenne County,"2,614","2,637","2,618","2,636"
 Kansas,Clark County,"1,979","1,958","1,939","1,847"
 Kansas,Clay County,"8,121","8,090","8,041","8,007"
 Kansas,Cloud County,"9,009","8,954","8,934","8,854"
 Kansas,Coffey County,"8,357","8,337","8,252","8,251"
 Kansas,Comanche County,"1,678","1,663","1,690","1,655"
 Kansas,Cowley County,"34,534","34,624","34,423","34,157"
 Kansas,Crawford County,"38,948","39,028","39,145","38,764"
 Kansas,Decatur County,"2,759","2,766","2,689","2,712"
 Kansas,Dickinson County,"18,373","18,465","18,355","18,445"
 Kansas,Doniphan County,"7,474","7,456","7,475","7,493"
 Kansas,Douglas County,"118,784","119,493","120,007","120,553"
 Kansas,Edwards County,"2,884","2,802","2,760","2,733"
 Kansas,Elk County,"2,482","2,439","2,448","2,467"
 Kansas,Ellis County,"28,948","28,850","28,840","28,810"
 Kansas,Ellsworth County,"6,369","6,324","6,383","6,357"
 Kansas,Finney County,"38,304","38,079","37,639","37,466"
 Kansas,Ford County,"34,215","34,186","33,924","33,980"
 Kansas,Franklin County,"26,000","26,002","25,959","26,125"
 Kansas,Geary County,"36,760","36,116","35,529","35,047"
 Kansas,Gove County,"2,714","2,747","2,742","2,735"
 Kansas,Graham County,"2,403","2,400","2,397","2,376"
 Kansas,Grant County,"7,326","7,333","7,250","7,147"
 Kansas,Gray County,"5,647","5,664","5,711","5,743"
 Kansas,Greeley County,"1,274","1,282","1,232","1,181"
 Kansas,Greenwood County,"5,977","5,921","5,908","5,870"
 Kansas,Hamilton County,"2,487","2,478","2,452","2,437"
 Kansas,Harper County,"5,472","5,355","5,400","5,435"
 Kansas,Harvey County,"33,986","33,788","33,671","33,504"
 Kansas,Haskell County,"3,760","3,652","3,595","3,630"
 Kansas,Hodgeman County,"1,737","1,724","1,697","1,655"
 Kansas,Jackson County,"13,239","13,263","13,292","13,368"
 Kansas,Jefferson County,"18,323","18,429","18,354","18,327"
 Kansas,Jewell County,"2,927","2,942","2,885","2,847"
 Kansas,Johnson County,"611,149","614,889","619,091","622,237"
 Kansas,Kearny County,"3,962","3,897","3,865","3,823"
 Kansas,Kingman County,"7,425","7,291","7,174","7,066"
 Kansas,Kiowa County,"2,455","2,409","2,405","2,374"
 Kansas,Labette County,"20,170","19,914","19,702","19,728"
 Kansas,Lane County,"1,568","1,561","1,544","1,529"
 Kansas,Leavenworth County,"81,966","82,398","82,922","83,518"
 Kansas,Lincoln County,"2,949","2,910","2,911","2,920"
 Kansas,Linn County,"9,587","9,740","9,777","9,860"
 Kansas,Logan County,"2,739","2,710","2,703","2,665"
 Kansas,Lyon County,"32,113","32,028","32,031","32,172"
 Kansas,McPherson County,"30,184","30,164","30,063","30,091"
 Kansas,Marion County,"11,793","11,750","11,783","11,690"
 Kansas,Marshall County,"10,023","10,021","9,992","9,933"
 Kansas,Meade County,"4,061","3,997","3,913","3,911"
 Kansas,Miami County,"34,224","34,641","34,791","35,320"
 Kansas,Mitchell County,"5,773","5,744","5,730","5,719"
 Kansas,Montgomery County,"31,404","31,181","30,853","30,568"
 Kansas,Morris County,"5,369","5,386","5,400","5,334"
 Kansas,Morton County,"2,700","2,671","2,601","2,580"
 Kansas,Nemaha County,"10,262","10,226","10,164","10,114"
 Kansas,Neosho County,"15,905","15,787","15,583","15,420"
 Kansas,Ness County,"2,673","2,651","2,657","2,618"
 Kansas,Norton County,"5,453","5,369","5,325","5,330"
 Kansas,Osage County,"15,741","15,752","15,705","15,824"
 Kansas,Osborne County,"3,490","3,485","3,481","3,427"
 Kansas,Ottawa County,"5,729","5,830","5,806","5,818"
 Kansas,Pawnee County,"6,256","6,247","6,188","6,126"
 Kansas,Phillips County,"4,961","4,819","4,783","4,761"
 Kansas,Pottawatomie County,"25,411","25,873","26,292","26,382"
 Kansas,Pratt County,"9,143","9,168","9,073","9,082"
 Kansas,Rawlins County,"2,572","2,558","2,523","2,463"
 Kansas,Reno County,"61,878","61,499","61,552","61,497"
 Kansas,Republic County,"4,664","4,688","4,653","4,627"
 Kansas,Rice County,"9,389","9,389","9,370","9,260"
 Kansas,Riley County,"72,016","71,871","71,563","71,402"
 Kansas,Rooks County,"4,893","4,865","4,810","4,778"
 Kansas,Rush County,"2,938","2,928","2,941","2,830"
 Kansas,Russell County,"6,678","6,697","6,733","6,723"
 Kansas,Saline County,"54,254","53,827","53,389","53,098"
 Kansas,Scott County,"5,139","5,121","5,007","4,922"
 Kansas,Sedgwick County,"524,821","524,423","525,368","528,469"
 Kansas,Seward County,"21,857","21,763","21,345","21,067"
 Kansas,Shawnee County,"178,709","178,403","177,537","177,746"
 Kansas,Sheridan County,"2,445","2,451","2,439","2,423"
 Kansas,Sherman County,"5,897","5,932","5,876","5,844"
 Kansas,Smith County,"3,567","3,573","3,572","3,590"
 Kansas,Stafford County,"4,049","4,008","3,971","3,909"
 Kansas,Stanton County,"2,084","2,045","1,967","1,901"
 Kansas,Stevens County,"5,243","5,302","5,166","5,077"
 Kansas,Sumner County,"22,328","22,327","22,359","22,334"
 Kansas,Thomas County,"7,932","7,948","7,908","7,865"
 Kansas,Trego County,"2,803","2,788","2,746","2,731"
 Kansas,Wabaunsee County,"6,891","6,970","7,009","7,057"
 Kansas,Wallace County,"1,512","1,513","1,493","1,509"
 Kansas,Washington County,"5,530","5,525","5,493","5,504"
 Kansas,Wichita County,"2,149","2,080","2,078","2,082"
 Kansas,Wilson County,"8,582","8,520","8,554","8,382"
 Kansas,Woodson County,"3,099","3,084","3,117","3,115"
 Kansas,Wyandotte County,"168,914","167,262","165,626","165,281"
 Kentucky,Adair County,"18,883","18,966","19,097","19,264"
 Kentucky,Allen County,"20,574","20,839","21,283","21,788"
 Kentucky,Anderson County,"23,883","24,084","24,273","24,613"
 Kentucky,Ballard County,"7,713","7,687","7,642","7,582"
 Kentucky,Barren County,"44,505","44,598","44,872","45,008"
 Kentucky,Bath County,"12,716","12,795","12,828","12,975"
 Kentucky,Bell County,"23,984","23,834","23,611","23,317"
 Kentucky,Boone County,"136,468","137,747","139,045","140,496"
 Kentucky,Bourbon County,"20,286","20,224","20,109","20,134"
 Kentucky,Boyd County,"48,206","47,757","48,059","47,826"
 Kentucky,Boyle County,"30,753","30,604","30,851","30,988"
 Kentucky,Bracken County,"8,400","8,440","8,435","8,426"
 Kentucky,Breathitt County,"13,693","13,546","13,358","12,953"
 Kentucky,Breckinridge County,"20,447","20,687","20,961","21,124"
 Kentucky,Bullitt County,"82,366","83,073","83,774","84,863"
 Kentucky,Butler County,"12,316","12,302","12,365","12,375"
 Kentucky,Caldwell County,"12,635","12,678","12,608","12,551"
 Kentucky,Calloway County,"37,596","37,896","38,093","38,280"
 Kentucky,Campbell County,"93,127","92,828","93,272","93,702"
 Kentucky,Carlisle County,"4,807","4,761","4,719","4,704"
 Kentucky,Carroll County,"10,825","10,896","10,939","10,987"
 Kentucky,Carter County,"26,609","26,430","26,343","26,366"
 Kentucky,Casey County,"15,918","15,940","15,911","15,918"
 Kentucky,Christian County,"72,762","73,180","72,286","72,032"
 Kentucky,Clark County,"37,035","36,895","36,992","37,304"
 Kentucky,Clay County,"20,312","20,161","19,874","19,648"
 Kentucky,Clinton County,"9,232","9,282","9,139","9,148"
 Kentucky,Crittenden County,"9,003","8,944","8,991","8,974"
 Kentucky,Cumberland County,"5,856","5,900","5,969","6,000"
 Kentucky,Daviess County,"103,405","103,089","103,189","103,458"
 Kentucky,Edmonson County,"12,152","12,237","12,302","12,448"
 Kentucky,Elliott County,"7,334","7,361","7,292","7,245"
 Kentucky,Estill County,"14,161","14,086","14,024","13,936"
 Kentucky,Fayette County,"322,627","320,519","320,281","320,154"
 Kentucky,Fleming County,"15,101","15,265","15,278","15,442"
 Kentucky,Floyd County,"35,798","35,304","34,918","34,423"
 Kentucky,Franklin County,"51,594","51,714","51,548","51,644"
 Kentucky,Fulton County,"6,511","6,487","6,371","6,338"
 Kentucky,Gallatin County,"8,673","8,763","8,773","8,792"
 Kentucky,Garrard County,"16,963","17,366","17,566","17,829"
 Kentucky,Grant County,"25,015","25,292","25,474","25,619"
 Kentucky,Graves County,"36,528","36,673","36,493","36,461"
 Kentucky,Grayson County,"26,460","26,583","26,643","26,825"
 Kentucky,Green County,"11,132","11,325","11,392","11,468"
 Kentucky,Greenup County,"35,877","35,643","35,375","35,221"
 Kentucky,Hancock County,"9,101","9,073","9,027","8,920"
 Kentucky,Hardin County,"110,829","111,878","111,743","112,273"
 Kentucky,Harlan County,"26,754","26,150","25,652","25,324"
 Kentucky,Harrison County,"18,719","18,957","19,105","19,415"
 Kentucky,Hart County,"19,290","19,477","19,594","19,724"
 Kentucky,Henderson County,"44,678","44,418","44,032","44,119"
 Kentucky,Henry County,"15,698","15,708","15,760","15,973"
 Kentucky,Hickman County,"4,529","4,426","4,434","4,447"
 Kentucky,Hopkins County,"45,369","45,189","44,926","44,929"
 Kentucky,Jackson County,"12,963","12,980","12,989","13,104"
 Kentucky,Jefferson County,"782,845","777,251","773,095","772,144"
 Kentucky,Jessamine County,"53,024","53,603","54,236","55,017"
 Kentucky,Johnson County,"22,648","22,548","22,235","22,116"
 Kentucky,Kenton County,"169,271","169,698","170,280","171,321"
 Kentucky,Knott County,"14,158","14,032","13,847","13,659"
 Kentucky,Knox County,"30,185","30,025","29,773","29,794"
 Kentucky,Larue County,"14,873","15,027","15,150","15,303"
 Kentucky,Laurel County,"62,727","62,580","62,879","63,296"
 Kentucky,Lawrence County,"16,303","16,284","16,097","16,000"
 Kentucky,Lee County,"7,368","7,462","7,273","7,293"
 Kentucky,Leslie County,"10,468","10,280","10,049","9,864"
 Kentucky,Letcher County,"21,465","21,224","20,827","20,423"
 Kentucky,Lewis County,"13,087","12,991","12,937","12,973"
 Kentucky,Lincoln County,"24,255","24,295","24,419","24,776"
 Kentucky,Livingston County,"8,871","8,980","8,968","8,892"
 Kentucky,Logan County,"27,513","27,804","27,856","28,283"
 Kentucky,Lyon County,"8,679","8,435","9,099","9,187"
 Kentucky,McCracken County,"67,917","67,546","67,366","67,428"
 Kentucky,McCreary County,"16,840","16,804","16,783","17,050"
 Kentucky,McLean County,"9,136","9,122","9,107","9,054"
 Kentucky,Madison County,"92,993","93,474","95,151","96,735"
 Kentucky,Magoffin County,"11,603","11,489","11,348","11,228"
 Kentucky,Marion County,"19,592","19,739","19,748","19,834"
 Kentucky,Marshall County,"31,691","31,829","31,790","31,744"
 Kentucky,Martin County,"11,253","11,165","11,096","10,928"
 Kentucky,Mason County,"17,133","16,960","16,903","16,841"
 Kentucky,Meade County,"30,026","30,119","30,010","30,131"
 Kentucky,Menifee County,"6,146","6,185","6,236","6,286"
 Kentucky,Mercer County,"22,655","22,860","22,900","23,097"
 Kentucky,Metcalfe County,"10,288","10,391","10,408","10,482"
 Kentucky,Monroe County,"11,319","11,260","11,353","11,306"
 Kentucky,Montgomery County,"28,112","28,230","28,357","28,527"
 Kentucky,Morgan County,"13,735","13,689","14,146","14,283"
 Kentucky,Muhlenberg County,"30,894","30,323","30,696","30,568"
 Kentucky,Nelson County,"46,779","47,127","47,359","47,730"
 Kentucky,Nicholas County,"7,541","7,733","7,786","7,686"
 Kentucky,Ohio County,"23,747","23,744","23,496","23,626"
 Kentucky,Oldham County,"67,693","68,238","69,444","70,183"
 Kentucky,Owen County,"11,301","11,298","11,294","11,313"
 Kentucky,Owsley County,"4,032","3,974","3,958","4,001"
 Kentucky,Pendleton County,"14,648","14,635","14,703","14,810"
 Kentucky,Perry County,"28,367","27,927","27,367","27,133"
 Kentucky,Pike County,"58,441","57,416","56,317","55,973"
 Kentucky,Powell County,"13,093","13,086","13,041","12,972"
 Kentucky,Pulaski County,"65,116","65,571","65,767","66,191"
 Kentucky,Robertson County,"2,184","2,257","2,247","2,313"
 Kentucky,Rockcastle County,"16,059","16,134","16,225","16,190"
 Kentucky,Rowan County,"24,722","24,569","24,372","24,409"
 Kentucky,Russell County,"18,002","18,172","18,185","18,279"
 Kentucky,Scott County,"57,531","58,316","59,077","60,168"
 Kentucky,Shelby County,"48,244","48,588","48,842","49,515"
 Kentucky,Simpson County,"19,633","19,734","19,948","20,195"
 Kentucky,Spencer County,"19,511","19,887","20,212","20,531"
 Kentucky,Taylor County,"26,000","26,187","26,396","26,443"
 Kentucky,Todd County,"12,288","12,301","12,394","12,494"
 Kentucky,Trigg County,"14,078","14,220","14,348","14,369"
 Kentucky,Trimble County,"8,460","8,549","8,527","8,607"
 Kentucky,Union County,"13,652","13,254","13,104","13,106"
 Kentucky,Warren County,"135,028","137,225","140,046","142,229"
 Kentucky,Washington County,"12,043","12,080","12,060","12,267"
 Kentucky,Wayne County,"19,539","19,535","19,634","19,580"
 Kentucky,Webster County,"13,018","12,852","12,739","12,726"
 Kentucky,Whitley County,"36,698","36,761","36,908","36,825"
 Kentucky,Wolfe County,"6,559","6,507","6,416","6,282"
 Kentucky,Woodford County,"26,904","27,082","27,053","27,268"
 Louisiana,Acadia Parish,"57,478","57,217","56,725","56,489"
 Louisiana,Allen Parish,"22,687","22,588","22,287","22,112"
 Louisiana,Ascension Parish,"126,978","128,571","130,485","131,632"
 Louisiana,Assumption Parish,"20,963","20,696","20,463","20,160"
 Louisiana,Avoyelles Parish,"39,646","39,261","38,715","38,408"
 Louisiana,Beauregard Parish,"36,605","36,668","36,624","36,827"
 Louisiana,Bienville Parish,"12,913","12,779","12,612","12,366"
 Louisiana,Bossier Parish,"128,721","129,323","129,153","129,795"
 Louisiana,Caddo Parish,"236,945","232,658","228,934","226,386"
 Louisiana,Calcasieu Parish,"216,481","204,914","202,288","203,761"
 Louisiana,Caldwell Parish,"9,615","9,576","9,493","9,389"
 Louisiana,Cameron Parish,"5,623","5,094","4,896","4,768"
 Louisiana,Catahoula Parish,"8,844","8,721","8,604","8,414"
 Louisiana,Claiborne Parish,"14,103","14,043","13,849","13,670"
 Louisiana,Concordia Parish,"18,569","18,348","18,026","17,688"
 Louisiana,De Soto Parish,"26,845","26,949","26,856","27,114"
 Louisiana,East Baton Rouge Parish,"455,899","453,596","450,091","448,467"
 Louisiana,East Carroll Parish,"7,397","7,229","6,939","6,829"
 Louisiana,East Feliciana Parish,"19,456","19,373","19,208","19,229"
 Louisiana,Evangeline Parish,"32,297","32,213","32,033","31,754"
 Louisiana,Franklin Parish,"19,713","19,609","19,358","19,285"
 Louisiana,Grant Parish,"22,149","22,256","22,040","21,911"
 Louisiana,Iberia Parish,"70,055","69,325","68,320","67,659"
 Louisiana,Iberville Parish,"30,064","29,747","29,613","29,617"
 Louisiana,Jackson Parish,"14,998","14,900","14,816","14,746"
 Louisiana,Jefferson Parish,"439,725","434,134","426,030","421,777"
 Louisiana,Jefferson Davis Parish,"32,210","32,373","31,929","31,553"
 Louisiana,Lafayette Parish,"242,145","244,880","247,714","249,750"
 Louisiana,Lafourche Parish,"97,454","97,599","95,751","95,056"
 Louisiana,LaSalle Parish,"14,823","14,842","14,821","14,800"
 Louisiana,Lincoln Parish,"48,309","48,110","47,980","47,962"
 Louisiana,Livingston Parish,"142,834","146,121","148,056","150,145"
 Louisiana,Madison Parish,"9,927","9,801","9,480","9,246"
 Louisiana,Morehouse Parish,"25,465","25,021","24,414","23,955"
 Louisiana,Natchitoches Parish,"37,387","36,973","36,648","36,291"
 Louisiana,Orleans Parish,"383,241","377,346","369,917","364,136"
 Louisiana,Ouachita Parish,"160,111","158,866","157,704","157,568"
 Louisiana,Plaquemines Parish,"23,460","23,310","22,618","22,386"
 Louisiana,Pointe Coupee Parish,"20,673","20,346","20,212","20,000"
 Louisiana,Rapides Parish,"129,651","128,626","127,028","126,260"
 Louisiana,Red River Parish,"7,582","7,505","7,465","7,356"
 Louisiana,Richland Parish,"20,026","19,856","19,784","19,712"
 Louisiana,Sabine Parish,"22,099","22,096","21,974","21,906"
 Louisiana,St. Bernard Parish,"43,856","44,324","44,419","44,463"
 Louisiana,St. Charles Parish,"52,513","52,470","51,058","50,620"
 Louisiana,St. Helena Parish,"10,898","10,903","10,789","10,774"
 Louisiana,St. James Parish,"20,120","19,794","19,388","19,191"
 Louisiana,St. John the Baptist Parish,"42,366","42,109","39,955","39,592"
 Louisiana,St. Landry Parish,"82,314","82,191","81,679","81,464"
 Louisiana,St. Martin Parish,"51,634","51,562","51,249","51,057"
 Louisiana,St. Mary Parish,"49,142","48,219","47,819","47,055"
 Louisiana,St. Tammany Parish,"265,000","270,147","273,237","275,583"
 Louisiana,Tangipahoa Parish,"133,654","135,488","136,799","138,064"
 Louisiana,Tensas Parish,"4,107","4,024","3,814","3,764"
 Louisiana,Terrebonne Parish,"109,405","108,955","104,632","103,616"
 Louisiana,Union Parish,"21,092","21,001","20,729","20,650"
 Louisiana,Vermilion Parish,"56,956","56,874","56,953","56,992"
 Louisiana,Vernon Parish,"48,622","48,022","46,870","46,250"
 Louisiana,Washington Parish,"45,357","45,198","44,991","44,865"
 Louisiana,Webster Parish,"36,883","35,938","35,527","35,238"
 Louisiana,West Baton Rouge Parish,"27,262","27,798","28,034","28,266"
 Louisiana,West Carroll Parish,"9,696","9,583","9,481","9,323"
 Louisiana,West Feliciana Parish,"15,259","15,495","15,396","15,371"
 Louisiana,Winn Parish,"13,720","13,493","13,251","13,216"
 Maine,Androscoggin County,"111,175","112,732","113,225","113,765"
 Maine,Aroostook County,"67,063","67,075","67,322","67,351"
 Maine,Cumberland County,"303,585","306,107","308,837","310,230"
 Maine,Franklin County,"29,468","30,258","30,595","30,828"
 Maine,Hancock County,"55,511","56,355","56,549","56,526"
 Maine,Kennebec County,"124,712","125,752","126,535","127,259"
 Maine,Knox County,"40,654","41,069","41,179","40,977"
 Maine,Lincoln County,"35,263","36,024","36,285","36,507"
 Maine,Oxford County,"57,898","58,692","59,458","59,905"
 Maine,Penobscot County,"152,169","153,359","154,728","155,312"
 Maine,Piscataquis County,"16,808","17,217","17,403","17,486"
 Maine,Sagadahoc County,"36,732","37,170","37,372","37,513"
 Maine,Somerset County,"50,473","50,782","51,118","51,302"
 Maine,Waldo County,"39,658","39,978","40,255","40,620"
 Maine,Washington County,"31,088","31,192","31,527","31,555"
 Maine,York County,"212,260","215,025","216,950","218,586"
 Maryland,Allegany County,"67,960","67,687","67,266","67,273"
 Maryland,Anne Arundel County,"589,106","592,085","593,347","594,582"
 Maryland,Baltimore County,"853,387","850,691","845,986","844,703"
 Maryland,Calvert County,"92,915","94,233","94,559","94,728"
 Maryland,Caroline County,"33,270","33,429","33,427","33,593"
 Maryland,Carroll County,"172,941","174,313","175,472","176,639"
 Maryland,Cecil County,"103,800","104,056","104,870","105,672"
 Maryland,Charles County,"166,741","168,927","170,111","171,973"
 Maryland,Dorchester County,"32,530","32,594","32,583","32,879"
 Maryland,Frederick County,"272,786","280,647","287,540","293,391"
 Maryland,Garrett County,"28,798","28,758","28,588","28,423"
 Maryland,Harford County,"261,230","263,302","263,815","264,644"
 Maryland,Howard County,"332,814","335,328","335,366","336,001"
 Maryland,Kent County,"19,120","19,244","19,295","19,303"
 Maryland,Montgomery County,"1,060,904","1,056,193","1,053,067","1,058,474"
 Maryland,Prince George's County,"965,365","956,451","946,980","947,430"
 Maryland,Queen Anne's County,"50,033","50,922","51,720","52,508"
 Maryland,St. Mary's County,"113,999","114,650","114,783","115,281"
 Maryland,Somerset County,"24,561","24,546","24,608","24,910"
 Maryland,Talbot County,"37,488","37,756","37,814","37,823"
 Maryland,Washington County,"154,697","155,143","155,257","155,813"
 Maryland,Wicomico County,"103,565","104,114","104,486","104,800"
 Maryland,Worcester County,"52,522","53,398","53,934","54,171"
 Maryland,Baltimore city,"583,157","576,578","569,107","565,239"
 Massachusetts,Barnstable County,"228,012","232,315","232,078","231,735"
 Massachusetts,Berkshire County,"128,619","128,376","127,547","126,818"
 Massachusetts,Bristol County,"576,772","579,756","579,744","581,841"
 Massachusetts,Dukes County,"20,593","21,127","20,962","20,819"
 Massachusetts,Essex County,"807,791","807,360","806,499","810,089"
 Massachusetts,Franklin County,"70,923","70,991","70,995","70,836"
 Massachusetts,Hampden County,"464,311","462,862","460,758","460,291"
 Massachusetts,Hampshire County,"146,616","163,128","162,518","162,502"
 Massachusetts,Middlesex County,"1,628,235","1,617,262","1,616,794","1,623,952"
 Massachusetts,Nantucket County,"14,237","14,506","14,443","14,444"
 Massachusetts,Norfolk County,"724,554","724,471","725,469","727,473"
 Massachusetts,Plymouth County,"530,200","533,059","533,248","535,308"
 Massachusetts,Suffolk County,"797,181","774,514","768,812","768,425"
 Massachusetts,Worcester County,"859,669","862,224","862,873","866,866"
 Michigan,Alcona County,"10,192","10,295","10,397","10,489"
 Michigan,Alger County,"8,842","8,774","8,773","8,757"
 Michigan,Allegan County,"120,669","121,068","121,290","121,939"
 Michigan,Alpena County,"28,886","28,939","28,833","28,904"
 Michigan,Antrim County,"23,458","23,879","24,265","24,409"
 Michigan,Arenac County,"15,001","15,016","15,123","15,145"
 Michigan,Baraga County,"8,142","8,286","8,283","8,310"
 Michigan,Barry County,"62,598","63,141","63,402","63,808"
 Michigan,Bay County,"103,742","103,108","102,638","102,500"
 Michigan,Benzie County,"17,990","18,237","18,327","18,441"
 Michigan,Berrien County,"154,197","153,352","152,835","152,261"
 Michigan,Branch County,"44,884","45,215","44,502","45,215"
 Michigan,Calhoun County,"134,200","133,878","133,424","133,366"
 Michigan,Cass County,"51,559","51,527","51,477","51,642"
 Michigan,Charlevoix County,"26,041","26,199","26,173","26,159"
 Michigan,Cheboygan County,"25,587","25,754","25,964","26,048"
 Michigan,Chippewa County,"36,787","35,849","36,207","36,264"
 Michigan,Clare County,"30,843","31,131","31,307","31,316"
 Michigan,Clinton County,"79,170","79,464","79,652","79,720"
 Michigan,Crawford County,"12,992","13,277","13,434","13,538"
 Michigan,Delta County,"36,870","36,825","36,781","36,790"
