state,county,"2020","2021","2022","2023"
 Arizona,Graham County,"38,646","38,921","38,822","39,525"
 Arizona,Greenlee County,"9,528","9,400","9,327","9,369"
 Arizona,La Paz County,"16,569","16,385","16,535","16,710"
 Arizona,Maricopa County,"4,445,059","4,499,438","4,555,833","4,585,871"
 Arizona,Mohave County,"214,185","217,164","220,905","223,682"
 Arizona,Navajo County,"106,763","107,726","108,800","109,175"
 Arizona,Pima County,"1,045,175","1,048,914","1,057,476","1,063,162"
 Arizona,Pinal County,"430,187","448,993","465,037","484,239"
 Arizona,Santa Cruz County,"47,712","47,956","48,680","49,158"
 Arizona,Yavapai County,"237,217","242,352","246,230","249,081"
 Arizona,Yuma County,"205,659","207,284","208,874","213,221"
 Arkansas,Arkansas County,"17,107","16,687","16,498","16,307"
 Arkansas,Ashley County,"18,957","18,654","18,348","18,262"
 Arkansas,Baxter County,"41,686","42,224","42,485","42,875"
 Arkansas,Benton County,"286,618","294,297","302,822","311,013"
 Arkansas,Boone County,"37,381","37,894","38,280","38,530"
 Arkansas,Bradley County,"10,495","10,343","10,168","10,104"
 Arkansas,Calhoun County,"4,736","4,728","4,687","4,641"
 Arkansas,Carroll County,"28,240","28,539","28,717","28,814"
 Arkansas,Chicot County,"10,156","10,052","9,834","9,538"
 Arkansas,Clark County,"21,385","21,244","21,276","21,274"
 Arkansas,Clay County,"14,529","14,362","14,271","14,201"
 Arkansas,Cleburne County,"24,704","25,028","25,253","25,445"
 Arkansas,Cleveland County,"7,552","7,486","7,467","7,378"
 Arkansas,Columbia County,"22,744","22,490","22,286","22,150"
 Arkansas,Conway County,"20,730","20,902","21,021","21,077"
 Arkansas,Craighead County,"111,619","111,794","112,863","113,993"
 Arkansas,Crawford County,"60,142","60,430","61,041","61,891"
 Arkansas,Crittenden County,"48,076","47,438","47,051","47,139"
 Arkansas,Cross County,"16,795","16,672","16,590","16,420"
 Arkansas,Dallas County,"6,444","6,309","6,196","6,185"
 Arkansas,Desha County,"11,324","11,048","10,758","10,479"
 Arkansas,Drew County,"17,313","17,057","16,912","16,945"
 Arkansas,Faulkner County,"123,820","125,608","127,565","129,951"
 Arkansas,Franklin County,"17,139","17,166","17,270","17,468"
 Arkansas,Fulton County,"12,054","12,147","12,355","12,421"
 Arkansas,Garland County,"100,258","100,393","99,982","99,784"
 Arkansas,Grant County,"18,018","18,123","18,129","18,383"
 Arkansas,Greene County,"45,864","46,341","46,408","46,743"
 Arkansas,Hempstead County,"19,989","19,667","19,481","19,343"
 Arkansas,Hot Spring County,"33,075","33,079","33,149","33,258"
 Arkansas,Howard County,"12,757","12,695","12,622","12,533"
 Arkansas,Independence County,"37,940","38,100","38,254","38,320"
 Arkansas,Izard County,"13,602","13,921","14,029","14,169"
 Arkansas,Jackson County,"16,761","16,781","16,654","16,784"
 Arkansas,Jefferson County,"66,830","65,637","64,295","63,661"
 Arkansas,Johnson County,"25,724","25,957","25,970","26,129"
 Arkansas,Lafayette County,"6,293","6,159","6,129","6,095"
 Arkansas,Lawrence County,"16,218","16,329","16,194","16,318"
 Arkansas,Lee County,"8,526","8,560","8,367","8,201"
 Arkansas,Lincoln County,"12,890","13,168","12,910","12,898"
 Arkansas,Little River County,"11,974","11,973","11,865","11,805"
 Arkansas,Logan County,"21,100","21,229","21,258","21,400"
 Arkansas,Lonoke County,"74,055","74,770","75,199","75,944"
 Arkansas,Madison County,"16,545","16,944","17,463","17,775"
 Arkansas,Marion County,"16,873","16,984","17,289","17,514"
 Arkansas,Miller County,"42,588","42,494","42,608","42,415"
 Arkansas,Mississippi County,"40,538","39,534","38,863","38,663"
 Arkansas,Monroe County,"6,776","6,648","6,568","6,512"
 Arkansas,Montgomery County,"8,485","8,635","8,543","8,620"
 Arkansas,Nevada County,"8,284","8,184","8,179","8,120"
 Arkansas,Newton County,"7,196","7,167","7,101","7,071"
 Arkansas,Ouachita County,"22,615","22,312","21,994","21,793"
 Arkansas,Perry County,"9,997","9,995","10,073","10,184"
 Arkansas,Phillips County,"16,440","15,825","15,350","14,961"
 Arkansas,Pike County,"10,162","10,114","10,159","10,208"
 Arkansas,Poinsett County,"22,954","22,691","22,453","22,397"
 Arkansas,Polk County,"19,177","19,333","19,334","19,436"
 Arkansas,Pope County,"63,410","63,778","64,053","64,593"
